Plasmid,Copy Number
pSC101,2
pSC101,4
pSC101,2
pSC101,1
pSC101,2
pSC101,9
pSC101,3
pSC101,18
pSC101,2
pSC101,4
pSC101,5
pSC101,7
pSC101,4
pSC101,2
pSC101,2
pSC101,4
pSC101,1
pSC101,3
pSC101,5
pSC101,2
pSC101,4
pSC101,14
pSC101,2
pSC101,11
pSC101,0
pSC101,6
pSC101,2
pSC101,10
pSC101,1
pSC101,16
pSC101,2
pSC101,1
pSC101,2
pSC101,2
pSC101,5
pSC101,1
pSC101,10
pSC101,3
pSC101,8
pSC101,2
pSC101,1
pSC101,3
pSC101,4
pSC101,4
pSC101,2
pSC101,1
pSC101,5
pSC101,6
pSC101,2
pSC101,4
pSC101,3
pSC101,1
pSC101,1
pSC101,2
pSC101,3
pSC101,1
pSC101,2
pSC101,5
pSC101,1
pSC101,0
pSC101,3
pSC101,1
pSC101,1
pSC101,3
pSC101,5
pSC101,3
pSC101,11
pSC101,7
pSC101,1
pSC101,1
pSC101,2
pSC101,1
pSC101,1
pSC101,3
pSC101,5
pSC101,2
pSC101,2
pSC101,8
pSC101,7
pSC101,2
pSC101,1
pSC101,2
pSC101,2
pSC101,9
pSC101,18
pSC101,0
pSC101,1
pSC101,2
pSC101,7
pSC101,2
pSC101,2
pSC101,5
pSC101,1
pSC101,1
pSC101,3
pSC101,7
pSC101,0
pSC101,5
pSC101,1
pSC101,1
pSC101,1
pSC101,3
pSC101,5
pSC101,5
pSC101,19
pSC101,5
pSC101,1
pSC101,13
pSC101,6
pSC101,2
pSC101,4
pSC101,4
pSC101,5
pSC101,1
pSC101,2
pSC101,0
pSC101,3
pSC101,2
pSC101,0
pSC101,35
pSC101,1
pSC101,6
pSC101,3
pSC101,3
pSC101,2
pSC101,0
pSC101,3
pSC101,4
pSC101,10
pSC101,1
pSC101,4
pSC101,1
pSC101,0
pSC101,2
pSC101,2
pSC101,3
pSC101,4
pSC101,4
pSC101,2
pSC101,2
pSC101,1
pSC101,2
pSC101,3
pSC101,1
pSC101,2
pSC101,3
pSC101,3
pSC101,1
pSC101,7
pSC101,1
pSC101,3
pSC101,2
pSC101,6
pSC101,1
pSC101,5
pSC101,1
pSC101,4
pSC101,4
pSC101,6
pSC101,2
pSC101,4
pSC101,6
pSC101,2
pSC101,1
pSC101,0
pSC101,7
pSC101,1
pSC101,2
pSC101,6
pSC101,2
pSC101,1
pSC101,3
pSC101,3
pSC101,3
pSC101,2
pSC101,4
pSC101,0
pSC101,1
pSC101,3
pSC101,4
pSC101,2
pSC101,3
pSC101,1
pSC101,2
pSC101,6
pSC101,4
pSC101,1
pSC101,2
pSC101,1
pSC101,1
pSC101,1
pSC101,1
pSC101,2
pSC101,1
pSC101,4
pSC101,2
pSC101,1
pSC101,1
pSC101,1
pSC101,2
pSC101,5
pSC101,1
pSC101,9
pSC101,1
pSC101,2
pSC101,2
pSC101,2
pSC101,2
pSC101,0
pSC101,1
pSC101,9
pSC101,6
pSC101,5
pSC101,7
pSC101,1
pSC101,1
pSC101,6
pSC101,3
pSC101,2
pSC101,3
pSC101,1
pSC101,1
pSC101,4
pSC101,2
pSC101,2
pSC101,2
pSC101,3
pSC101,6
pSC101,4
pSC101,1
pSC101,2
pSC101,1
pSC101,0
pSC101,0
pSC101,3
pSC101,3
pSC101,15
pSC101,1
pSC101,1
pSC101,3
pSC101,0
pSC101,4
pSC101,4
pSC101,2
pSC101,2
pSC101,4
pSC101,2
pSC101,4
pSC101,3
pSC101,3
pSC101,2
pSC101,4
pSC101,4
pSC101,6
pSC101,2
pSC101,1
pSC101,3
pSC101,1
pSC101,3
pSC101,1
pSC101,0
pSC101,1
pSC101,2
pSC101,1
pSC101,3
pSC101,2
pSC101,1
pSC101,5
pSC101,17
pSC101,0
pSC101,3
pSC101,2
pSC101,4
pSC101,3
pSC101,5
pSC101,6
pSC101,1
pSC101,1
pSC101,0
pSC101,0
pSC101,1
pSC101,28
pSC101,0
pSC101,17
pSC101,3
pSC101,1
pSC101,3
pSC101,1
pSC101,16
pSC101,2
pSC101,3
pSC101,0
pSC101,1
pSC101,3
pSC101,3
pSC101,6
pSC101,3
pSC101,1
pSC101,0
pSC101,2
pSC101,3
pSC101,0
pSC101,2
pSC101,3
pSC101,7
pSC101,2
pSC101,1
pSC101,2
pSC101,2
pSC101,1
pSC101,1
pSC101,0
pSC101,0
pSC101,3
pSC101,1
pSC101,3
pSC101,4
pSC101,1
pSC101,6
pSC101,2
pSC101,3
pSC101,1
pSC101,4
pSC101,3
pSC101,6
pSC101,4
pSC101,1
pSC101,1
pSC101,1
pSC101,1
pSC101,4
pSC101,3
pSC101,0
pSC101,8
pSC101,3
pSC101,3
pSC101,1
pSC101,1
pSC101,25
pSC101,2
pSC101,2
pSC101,2
pSC101,1
pSC101,1
pSC101,3
pSC101,1
pSC101,1
pSC101,2
pSC101,20
pSC101,2
pSC101,1
pSC101,12
pSC101,3
pSC101,4
pSC101,1
pSC101,1
pSC101,1
pSC101,5
pSC101,1
pSC101,4
pSC101,1
pSC101,2
pSC101,4
pSC101,3
pSC101,3
pSC101,5
pSC101,1
pSC101,2
pSC101,0
pSC101,2
pSC101,6
pSC101,3
pSC101,1
pSC101,6
pSC101,2
pSC101,6
pSC101,0
pSC101,5
pSC101,2
pSC101,2
pSC101,1
pSC101,3
pSC101,1
pSC101,1
pSC101,0
pSC101,3
pSC101,1
pSC101,3
pSC101,4
pSC101,1
pSC101,2
pSC101,5
pSC101,4
pSC101,2
pSC101,1
pSC101,5
pSC101,1
pSC101,2
pSC101,2
pSC101,0
pSC101,3
pSC101,4
pSC101,2
pSC101,2
pSC101,1
pSC101,0
pSC101,2
pSC101,0
pSC101,1
pSC101,0
pSC101,1
pSC101,1
pSC101,0
pSC101,3
pSC101,3
pSC101,0
pSC101,2
pSC101,2
pSC101,1
pSC101,1
pSC101,2
pSC101,1
pSC101,2
pSC101,5
pSC101,1
pSC101,1
pSC101,1
pSC101,0
pSC101,2
pSC101,1
pSC101,14
pSC101,3
pSC101,1
pSC101,5
pSC101,0
pSC101,1
pSC101,0
pSC101,1
pSC101,2
pSC101,1
pSC101,5
pSC101,2
pSC101,5
pSC101,6
pSC101,2
pSC101,5
pSC101,6
pSC101,4
pSC101,0
pSC101,1
pSC101,0
pSC101,1
pSC101,5
pSC101,2
pSC101,1
pSC101,1
pSC101,2
pSC101,1
pSC101,0
pSC101,1
pSC101,1
pSC101,2
pSC101,1
pSC101,1
pSC101,2
pSC101,1
pSC101,1
pSC101,6
pSC101,2
pSC101,3
pSC101,1
pSC101,0
pSC101,2
pSC101,4
pSC101,1
pSC101,6
pSC101,3
pSC101,4
pSC101,2
pSC101,1
pSC101,1
pSC101,2
pSC101,2
pSC101,2
pSC101,0
pSC101,2
pSC101,1
pSC101,1
pSC101,1
pSC101,0
pSC101,0
pSC101,1
pSC101,5
pSC101,4
pSC101,5
pSC101,0
pSC101,2
pSC101,2
pSC101,1
pSC101,2
pSC101,1
pSC101,2
pSC101,1
pSC101,1
pSC101,0
pSC101,1
pSC101,1
pSC101,1
pSC101,5
pSC101,3
pSC101,1
pSC101,2
pSC101,2
pSC101,1
pSC101,1
pSC101,0
pSC101,3
pSC101,1
pSC101,2
pSC101,3
pSC101,2
pSC101,4
pSC101,3
pSC101,2
pSC101,9
pSC101,2
pSC101,4
pSC101,1
pSC101,1
pSC101,6
pSC101,4
pSC101,1
pSC101,2
pSC101,2
pSC101,2
pSC101,1
pSC101,0
pSC101,1
pSC101,1
pSC101,1
pSC101,0
pSC101,5
pSC101,1
pSC101,3
pSC101,2
pSC101,1
pSC101,3
pSC101,3
pSC101,0
pSC101,4
pSC101,2
pSC101,5
pSC101,0
pSC101,1
pSC101,2
pSC101,7
pSC101,3
pSC101,6
pSC101,7
pSC101,2
pSC101,31
pSC101,4
pSC101,1
pSC101,6
pSC101,3
pSC101,1
pSC101,3
pSC101,3
pSC101,4
pSC101,12
pSC101,3
pSC101,4
pSC101,3
pSC101,6
pSC101,7
pSC101,6
pSC101,5
pSC101,4
pSC101,12
pSC101,23
pSC101,2
pSC101,5
pSC101,3
pSC101,2
pSC101,12
pSC101,9
pSC101,7
pSC101,8
pSC101,3
pSC101,7
pSC101,4
pSC101,2
pSC101,5
pSC101,4
pSC101,5
pSC101,7
pSC101,10
pSC101,3
pSC101,8
pSC101,4
pSC101,2
pSC101,16
pSC101,2
pSC101,2
pSC101,7
pSC101,4
pSC101,3
pSC101,2
pSC101,1
pSC101,6
pSC101,6
pSC101,10
pSC101,1
pSC101,6
pSC101,4
pSC101,1
pSC101,9
pSC101,4
pSC101,2
pSC101,3
pSC101,4
pSC101,1
pSC101,5
pSC101,0
pSC101,5
pSC101,2
pSC101,7
pSC101,2
pSC101,6
pSC101,1
pSC101,2
pSC101,3
pSC101,5
pSC101,3
pSC101,3
pSC101,7
pSC101,2
pSC101,3
pSC101,1
pSC101,1
pSC101,6
pSC101,8
pSC101,3
pSC101,2
pSC101,1
pSC101,1
pSC101,2
pSC101,5
pSC101,6
pSC101,3
pSC101,2
pSC101,2
pSC101,7
pSC101,2
pSC101,2
pSC101,6
pSC101,6
pSC101,5
pSC101,2
pSC101,5
pSC101,12
pSC101,12
pSC101,4
pSC101,2
pSC101,4
pSC101,7
pSC101,5
pSC101,2
pSC101,5
pSC101,3
pSC101,1
pSC101,10
pSC101,3
pSC101,2
pSC101,2
pSC101,1
pSC101,4
pSC101,2
pSC101,2
pSC101,4
pSC101,6
pSC101,6
pSC101,3
pSC101,8
pSC101,4
pSC101,4
pSC101,3
pSC101,6
pSC101,26
pSC101,17
pSC101,2
pSC101,3
pSC101,1
pSC101,3
pSC101,5
pSC101,7
pSC101,7
pSC101,1
pSC101,5
pSC101,3
pSC101,7
pSC101,3
pSC101,10
pSC101,3
pSC101,2
pSC101,6
pSC101,4
pSC101,5
pSC101,8
pSC101,3
pSC101,3
pSC101,2
pSC101,4
pSC101,2
pSC101,7
pSC101,6
pSC101,1
pSC101,4
